iter	Passed	Remaining
640	3075	1722
641	3079	1717
642	3083	1712
643	3088	1707
644	3093	1702
645	3097	1697
646	3103	1693
647	3107	1687
648	3112	1683
649	3116	1678
650	3121	1673
651	3125	1668
652	3130	1663
653	3135	1658
654	3139	1653
655	3144	1648
656	3148	1643
657	3153	1639
658	3159	1634
659	3164	1630
660	3168	1625
661	3174	1620
662	3178	1615
663	3184	1611
664	3189	1606
665	3193	1601
666	3198	1596
667	3202	1591
668	3207	1586
669	3211	1581
670	3217	1577
671	3222	1572
672	3227	1567
673	3231	1563
674	3236	1558
675	3241	1553
676	3246	1548
677	3251	1544
678	3255	1539
679	3260	1534
680	3265	1529
681	3271	1525
682	3275	1520
683	3280	1515
684	3285	1510
685	3290	1506
686	3296	1501
687	3300	1496
688	3305	1492
689	3310	1487
690	3315	1482
691	3319	1477
692	3324	1472
693	3328	1467
694	3333	1463
695	3338	1458
696	3343	1453
697	3347	1448
698	3352	1443
699	3357	1438
700	3362	1434
701	3366	1429
702	3371	1424
703	3375	1419
704	3380	1414
705	3383	1409
706	3388	1404
707	3391	1398
708	3395	1393
709	3400	1388
710	3404	1383
711	3408	1378
712	3412	1373
713	3415	1368
714	3420	1363
715	3424	1358
716	3428	1353
717	3432	1348
718	3436	1343
719	3440	1337
720	3444	1332
721	3448	1327
722	3452	1322
723	3456	1317
724	3461	1312
725	3466	1308
726	3471	1303
727	3475	1298
728	3480	1293
729	3484	1288
730	3488	1283
731	3493	1279
732	3498	1274
733	3502	1269
734	3506	1264
735	3511	1259
736	3516	1254
737	3520	1249
738	3525	1245
739	3529	1240
740	3535	1235
741	3542	1231
742	3548	1227
743	3555	1223
744	3562	1219
745	3571	1215
746	3575	1210
747	3584	1207
748	3589	1202
749	3593	1197
750	3598	1193
751	3602	1187
752	3606	1183
753	3610	1178
754	3615	1173
755	3621	1168
756	3625	1163
757	3629	1158
758	3633	1153
759	3637	1148
760	3642	1144
761	3646	1139
762	3652	1134
763	3656	1129
764	3660	1124
765	3665	1119
766	3670	1114
767	3674	1109
768	3679	1105
769	3683	1100
770	3687	1095
771	3692	1090
772	3697	1085
773	3701	1080
774	3707	1076
775	3711	1071
776	3715	1066
777	3719	1061
778	3723	1056
779	3728	1051
780	3733	1046
781	3737	1041
782	3742	1037
783	3746	1032
784	3751	1027
785	3755	1022
786	3760	1017
787	3764	1012
788	3769	1007
789	3773	1003
790	3777	998
791	3782	993
792	3786	988
793	3791	983
794	3796	978
795	3800	974
796	3806	969
797	3810	964
798	3815	959
799	3819	954
800	3823	950
801	3828	945
802	3832	940
803	3837	935
804	3841	930
805	3846	925
806	3851	921
807	3855	916
808	3860	911
809	3865	906
810	3869	901
811	3874	897
812	3878	892
813	3883	887
814	3887	882
815	3892	877
816	3897	872
817	3901	868
818	3906	863
819	3910	858
820	3916	853
821	3920	848
822	3924	844
823	3929	839
824	3934	834
825	3938	829
826	3943	824
827	3948	820
828	3953	815
829	3961	811
830	3965	806
831	3970	801
832	3975	796
833	3980	792
834	3984	787
835	3989	782
836	3993	777
837	3998	772
838	4003	768
839	4008	763
840	4012	758
841	4017	753
842	4021	749
843	4026	744
844	4030	739
845	4035	734
846	4039	729
847	4044	724
848	4048	720
849	4052	715
850	4057	710
851	4061	705
852	4066	700
853	4071	696
854	4076	691
855	4081	686
856	4085	681
857	4089	676
858	4093	672
859	4098	667
860	4103	662
861	4107	657
862	4111	652
863	4117	648
864	4121	643
865	4125	638
866	4130	633
867	4135	628
868	4139	624
869	4143	619
870	4148	614
871	4152	609
872	4156	604
873	4161	599
874	4165	595
875	4170	590
876	4174	585
877	4179	580
878	4183	575
879	4188	571
880	4193	566
881	4198	561
882	4203	556
883	4207	552
884	4211	547
885	4216	542
886	4221	537
887	4225	532
888	4229	528
889	4234	523
890	4238	518
891	4243	513
892	4248	509
893	4254	504
894	4258	499
895	4262	494
896	4267	490
897	4272	485
898	4276	480
899	4281	475
900	4286	470
901	4291	466
902	4295	461
903	4300	456
904	4304	451
905	4309	447
906	4314	442
907	4318	437
908	4323	432
909	4327	428
910	4332	423
911	4336	418
912	4341	413
913	4345	408
914	4350	404
915	4355	399
916	4360	394
917	4364	389
918	4369	385
919	4373	380
920	4378	375
921	4382	370
922	4387	365
923	4391	361
924	4395	356
925	4400	351
926	4404	346
927	4409	342
928	4414	337
929	4418	332
930	4423	327
931	4428	323
932	4433	318
933	4437	313
934	4441	308
935	4446	304
936	4451	299
937	4456	294
938	4460	289
939	4465	285
940	4469	280
941	4474	275
942	4479	270
943	4483	265
944	4487	261
945	4492	256
946	4497	251
947	4501	246
948	4505	242
949	4509	237
950	4514	232
951	4518	227
952	4523	223
953	4528	218
954	4532	213
955	4537	208
956	4541	204
957	4545	199
958	4550	194
959	4554	189
960	4558	185
961	4563	180
962	4567	175
963	4571	170
964	4576	165
965	4581	161
966	4586	156
967	4590	151
968	4595	147
969	4599	142
970	4603	137
971	4607	132
972	4612	127
973	4616	123
974	4620	118
975	4627	113
976	4631	109
977	4636	104
978	4640	99
979	4646	94
980	4650	90
981	4654	85
982	4658	80
983	4662	75
984	4666	71
985	4670	66
986	4674	61
987	4678	56
988	4682	52
989	4686	47
990	4690	42
991	4695	37
992	4698	33
993	4703	28
994	4707	23
995	4711	18
996	4715	14
997	4720	9
998	4724	4
999	4728	0
